epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2205,1.95621,3.88258,1.65729,0.02477,0.98291,0.1721,0.08341,1.32415,3.51326,1.07774,0.00022848,0.00022848,0.00022848
2,19.1519,1.62526,2.19823,1.32965,0.83081,0.12594,0.53388,0.29425,1.45568,2.74113,1.13919,0.000463647,0.000463647,0.000463647
3,25.3304,1.57575,1.68592,1.30509,0.71571,0.48633,0.73679,0.44404,1.32918,2.09787,1.11644,0.000696989,0.000696989,0.000696989
4,31.5111,1.50555,1.39511,1.29883,0.87556,0.88731,0.94999,0.59732,1.26076,1.04396,1.11318,0.00070774,0.00070774,0.00070774
5,37.687,1.48351,1.25393,1.27374,0.89071,0.90934,0.95088,0.55559,1.44098,0.99731,1.18754,0.000702896,0.000702896,0.000702896
6,43.8101,1.4593,1.18826,1.26723,0.91721,0.95026,0.97383,0.5662,1.43513,0.84889,1.21681,0.000696702,0.000696702,0.000696702
7,49.9627,1.42662,1.12607,1.2464,0.94135,0.92656,0.97887,0.6493,1.16207,0.77466,1.10028,0.000689181,0.000689181,0.000689181
8,56.1039,1.39242,1.08653,1.23198,0.96547,0.96196,0.98864,0.67581,1.11127,0.64044,1.07944,0.000680363,0.000680363,0.000680363
9,62.204,1.38351,1.03262,1.22093,0.96276,0.93839,0.98467,0.63801,1.21011,0.6791,1.10062,0.000670283,0.000670283,0.000670283
10,68.3878,1.35335,1.00111,1.21,0.97395,0.95653,0.9893,0.68657,1.09112,0.6328,1.06186,0.000658981,0.000658981,0.000658981
11,74.4978,1.3768,0.96604,1.22272,0.98037,0.98067,0.99316,0.66099,1.16705,0.58504,1.06467,0.000646501,0.000646501,0.000646501
12,80.9279,1.32139,0.92831,1.18425,0.98799,0.97785,0.99252,0.69722,1.04221,0.58385,1.03812,0.000632892,0.000632892,0.000632892
13,87.0294,1.33042,0.8937,1.18732,0.95555,0.96897,0.99083,0.63335,1.26446,0.61643,1.12964,0.000618209,0.000618209,0.000618209
14,93.1156,1.28456,0.86119,1.16835,0.96182,0.97736,0.9924,0.69308,1.05002,0.58804,1.02753,0.000602509,0.000602509,0.000602509
15,99.2144,1.28573,0.86566,1.16856,0.97871,0.96992,0.99169,0.65963,1.17366,0.55216,1.07574,0.000585855,0.000585855,0.000585855
16,105.311,1.26798,0.84151,1.16467,0.97345,0.97874,0.99165,0.64007,1.25412,0.55241,1.10761,0.000568311,0.000568311,0.000568311
17,111.379,1.26,0.80861,1.15861,0.97345,0.96607,0.99311,0.68399,1.12707,0.54937,1.05648,0.000549947,0.000549947,0.000549947
18,117.503,1.22856,0.789,1.1369,0.98291,0.96603,0.99214,0.61851,1.36628,0.581,1.16128,0.000530836,0.000530836,0.000530836
19,123.567,1.21749,0.78534,1.14318,0.97272,0.9864,0.99276,0.65452,1.2157,0.53563,1.08089,0.000511053,0.000511053,0.000511053
