epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8496,1.50221,2.23535,2.66579,0.98782,0,0.90779,0.15297,0.26794,0.16574,0.88992,0.16151,0.26635,0.14904,1.39457,1.93604,3.16195,0.95866,0,0.000660194,0.000660194,0.000660194
2,63.2406,1.47734,2.09891,1.6737,0.98807,0,0.64329,0.55494,0.59191,0.35754,0.65078,0.52497,0.55544,0.22266,1.48735,2.56433,1.56836,1.11269,0,0.00130059,0.00130059,0.00130059
3,88.146,1.46855,2.08734,1.42362,0.99782,0,0.82873,0.59378,0.70201,0.44126,0.8078,0.56445,0.65964,0.30352,1.32196,2.044,1.16113,0.98933,0,0.00191458,0.00191458,0.00191458
4,114.788,1.42969,1.98774,1.25534,0.98234,0,0.72089,0.58269,0.64161,0.39645,0.71485,0.5616,0.6121,0.31516,1.36246,1.8638,1.26644,0.99194,0,0.0018812,0.0018812,0.0018812
5,141.159,1.38913,1.86909,1.14497,0.98196,0,0.79311,0.65523,0.74378,0.48247,0.76597,0.63485,0.69425,0.31035,1.22162,1.78662,1.36998,0.96708,0,0.0018416,0.0018416,0.0018416
6,166.035,1.39128,1.8908,1.08029,0.96776,0,0.81588,0.66815,0.77549,0.49139,0.80479,0.60821,0.69876,0.31324,1.27509,1.68849,0.96252,0.97658,0,0.001802,0.001802,0.001802
7,188.749,1.33279,1.82083,1.0322,0.94913,0,0.83329,0.68791,0.79777,0.52719,0.81184,0.66593,0.75544,0.36208,1.187,1.70965,0.975,0.94792,0,0.0017624,0.0017624,0.0017624
8,213.301,1.31524,1.77881,0.97113,0.94256,0,0.84826,0.69589,0.79902,0.52893,0.82168,0.66926,0.74775,0.35542,1.21139,1.64246,0.89763,0.95469,0,0.0017228,0.0017228,0.0017228
9,240.692,1.30158,1.71296,0.97017,0.9306,0,0.8636,0.67703,0.79747,0.51851,0.84762,0.66061,0.76331,0.38476,1.19799,1.5832,0.89404,0.93959,0,0.0016832,0.0016832,0.0016832
10,267.689,1.26924,1.74188,0.94105,0.92591,0,0.84715,0.70739,0.81161,0.54539,0.81496,0.67456,0.75464,0.35495,1.15421,1.53702,0.87115,0.93325,0,0.0016436,0.0016436,0.0016436
11,294.298,1.28406,1.68809,0.931,0.92715,0,0.8719,0.71012,0.83605,0.55826,0.854,0.67925,0.78734,0.41567,1.16801,1.51654,0.83121,0.9355,0,0.001604,0.001604,0.001604
12,319.518,1.22653,1.60979,0.89824,0.92037,0,0.82917,0.72186,0.81979,0.54815,0.79686,0.697,0.76673,0.36504,1.14721,1.53551,0.86451,0.93724,0,0.0015644,0.0015644,0.0015644
13,347.326,1.22859,1.63905,0.88154,0.91693,0,0.81797,0.73811,0.82107,0.56029,0.78898,0.697,0.77205,0.38651,1.14197,1.53994,0.83142,0.93281,0,0.0015248,0.0015248,0.0015248
14,374.642,1.21572,1.67458,0.86756,0.9117,0,0.82795,0.71037,0.82702,0.56905,0.80767,0.68978,0.78582,0.38313,1.11056,1.50753,0.83062,0.91698,0,0.0014852,0.0014852,0.0014852
15,403.257,1.20726,1.59878,0.86099,0.91468,0,0.85138,0.7439,0.83502,0.56979,0.8201,0.70327,0.77942,0.39189,1.1028,1.50615,0.78334,0.91817,0,0.0014456,0.0014456,0.0014456
16,429.376,1.22053,1.57547,0.85064,0.91103,0,0.81614,0.76471,0.8401,0.57945,0.80214,0.73794,0.79859,0.4005,1.10072,1.46976,0.79758,0.9166,0,0.001406,0.001406,0.001406
17,455.332,1.18156,1.56799,0.82924,0.90064,0,0.8318,0.75583,0.8478,0.58333,0.80245,0.72475,0.8003,0.3934,1.0784,1.46147,0.77693,0.90996,0,0.0013664,0.0013664,0.0013664
18,481.762,1.19266,1.55902,0.82752,0.89824,0,0.81818,0.77248,0.85235,0.58122,0.87494,0.68333,0.79767,0.39794,1.08084,1.50466,0.76245,0.91576,0,0.0013268,0.0013268,0.0013268
19,508.847,1.15028,1.49659,0.79228,0.89922,0,0.84733,0.75916,0.86447,0.58912,0.85393,0.70588,0.81799,0.43013,1.07804,1.45206,0.74913,0.90245,0,0.0012872,0.0012872,0.0012872
20,535.985,1.14497,1.51952,0.78061,0.89572,0,0.86498,0.74473,0.85129,0.59645,0.85852,0.68923,0.78924,0.40603,1.08099,1.46551,0.76451,0.90786,0,0.0012476,0.0012476,0.0012476
21,564.215,1.14325,1.51396,0.78212,0.89748,0,0.87513,0.73363,0.84823,0.58541,0.87174,0.70153,0.80486,0.40849,1.09657,1.46637,0.75629,0.91502,0,0.001208,0.001208,0.001208
22,592.346,1.138,1.52039,0.76058,0.88402,0,0.8783,0.75472,0.86188,0.60371,0.85154,0.70477,0.79497,0.38795,1.07503,1.43265,0.72397,0.9001,0,0.0011684,0.0011684,0.0011684
23,618.559,1.15977,1.51817,0.77792,0.89341,0,0.86699,0.77026,0.86687,0.60582,0.84584,0.74473,0.81597,0.40021,1.05201,1.45198,0.71517,0.90062,0,0.0011288,0.0011288,0.0011288
24,644.466,1.14328,1.53851,0.76152,0.88464,0,0.86814,0.77137,0.87259,0.60434,0.84171,0.73585,0.82471,0.41881,1.07445,1.42144,0.73088,0.90027,0,0.0010892,0.0010892,0.0010892
25,671.609,1.13409,1.5272,0.76068,0.87878,0,0.86524,0.76252,0.87173,0.61247,0.85559,0.71675,0.81278,0.40311,1.05258,1.44803,0.72515,0.89573,0,0.0010496,0.0010496,0.0010496
26,700.519,1.12578,1.45982,0.74928,0.88719,0,0.85334,0.78787,0.87381,0.61223,0.82629,0.74438,0.8125,0.39744,1.04846,1.44346,0.71783,0.90156,0,0.00101,0.00101,0.00101
27,727.545,1.12146,1.47557,0.75022,0.8812,0,0.85915,0.765,0.85979,0.60444,0.82783,0.72575,0.80141,0.40566,1.05158,1.38471,0.72289,0.89372,0,0.0009704,0.0009704,0.0009704
28,754.379,1.0945,1.46562,0.73836,0.87474,0,0.86367,0.78357,0.87267,0.61769,0.85153,0.74806,0.82863,0.42753,1.02432,1.4407,0.71462,0.89117,0,0.0009308,0.0009308,0.0009308
29,781.85,1.0762,1.45709,0.7153,0.86858,0,0.85603,0.77691,0.87419,0.61249,0.86362,0.71032,0.81464,0.40418,1.03767,1.43833,0.71609,0.88837,0,0.0008912,0.0008912,0.0008912
30,809.373,1.09927,1.44687,0.71364,0.87622,0,0.88163,0.77703,0.8799,0.61732,0.8493,0.7414,0.82836,0.42578,1.03417,1.4026,0.69044,0.8947,0,0.0008516,0.0008516,0.0008516
31,837.412,1.05948,1.3807,0.69524,0.8675,0,0.85299,0.79911,0.88565,0.6304,0.85268,0.72697,0.83123,0.43008,1.01313,1.3729,0.67782,0.88847,0,0.000812,0.000812,0.000812
32,865.251,1.06021,1.41545,0.69171,0.8745,0,0.87739,0.78631,0.87641,0.62046,0.84891,0.76078,0.83643,0.41491,1.02839,1.39351,0.69046,0.88438,0,0.0007724,0.0007724,0.0007724
33,891.454,1.0666,1.41263,0.7003,0.87108,0,0.87297,0.7758,0.8812,0.62522,0.843,0.74695,0.82683,0.42555,1.02362,1.38381,0.68152,0.89096,0,0.0007328,0.0007328,0.0007328
34,916.684,1.05988,1.37396,0.69339,0.87097,0,0.87091,0.80133,0.89144,0.63285,0.86956,0.73696,0.82295,0.40152,1.01014,1.35382,0.68111,0.88546,0,0.0006932,0.0006932,0.0006932
35,940.452,1.06994,1.44098,0.69248,0.8693,0,0.844,0.82263,0.89258,0.63161,0.80889,0.76582,0.82151,0.40548,1.00374,1.33273,0.68261,0.88402,0,0.0006536,0.0006536,0.0006536
36,967.299,1.04175,1.39173,0.67948,0.86725,0,0.87451,0.79023,0.88963,0.63172,0.83332,0.75694,0.82754,0.41687,0.99065,1.32859,0.66183,0.88261,0,0.000614,0.000614,0.000614
37,995.627,1.03345,1.36959,0.66727,0.86213,0,0.87726,0.79245,0.89049,0.63659,0.84053,0.75916,0.83865,0.41586,0.98165,1.345,0.64849,0.88139,0,0.0005744,0.0005744,0.0005744
38,1021.17,1.02244,1.34307,0.66279,0.86305,0,0.85929,0.80659,0.89636,0.64054,0.82116,0.76804,0.84367,0.42252,0.99757,1.34529,0.65435,0.88343,0,0.0005348,0.0005348,0.0005348
39,1046.66,1.01271,1.34419,0.65372,0.8592,0,0.89884,0.77903,0.8948,0.63859,0.8681,0.73696,0.83282,0.42658,0.98485,1.34651,0.65657,0.87762,0,0.0004952,0.0004952,0.0004952
40,1072.93,1.0168,1.33846,0.64517,0.8569,0,0.84323,0.81788,0.89236,0.64223,0.88206,0.72364,0.82993,0.42858,0.97837,1.37404,0.65565,0.87564,0,0.0004556,0.0004556,0.0004556
41,1131.94,0.98611,1.32572,0.64745,0.86493,0,0.87191,0.79689,0.89094,0.63683,0.87675,0.72475,0.82123,0.44271,0.9985,1.36767,0.66009,0.878,0,0.000416,0.000416,0.000416
42,1156.96,0.99062,1.31612,0.62469,0.86261,0,0.87078,0.80774,0.89392,0.63801,0.82786,0.7636,0.83108,0.43063,0.98487,1.37198,0.64785,0.87974,0,0.0003764,0.0003764,0.0003764
43,1181.81,0.98385,1.32525,0.62666,0.86276,0,0.87669,0.80488,0.90042,0.6437,0.86801,0.75178,0.84043,0.42267,0.97559,1.36617,0.64659,0.87724,0,0.0003368,0.0003368,0.0003368
44,1207.27,0.97273,1.25111,0.61197,0.85781,0,0.87766,0.81021,0.89552,0.64065,0.84916,0.76849,0.83717,0.43581,0.9825,1.38876,0.64853,0.87678,0,0.0002972,0.0002972,0.0002972
45,1233.05,0.96423,1.25425,0.6131,0.85639,0,0.86236,0.83443,0.90047,0.64881,0.81286,0.7858,0.83101,0.4354,0.96349,1.39048,0.63795,0.87385,0,0.0002576,0.0002576,0.0002576
46,1259.16,0.95848,1.25594,0.60193,0.85144,0,0.88667,0.81623,0.90094,0.6505,0.86366,0.75227,0.83304,0.42986,0.96635,1.35764,0.63688,0.87365,0,0.000218,0.000218,0.000218
47,1284.71,0.94821,1.2966,0.59124,0.85592,0,0.87518,0.8249,0.89992,0.65451,0.86688,0.76027,0.84014,0.4373,0.96208,1.33835,0.63877,0.87337,0,0.0001784,0.0001784,0.0001784
